Log_degree,Log_frequency
0.0,9.959726098983317
0.6931471805599453,9.14569517848265
1.0986122886681096,8.586719254064848
1.3862943611198906,8.214735833382301
1.6094379124341003,7.8724551500639794
1.791759469228055,7.62657020629066
1.9459101490553132,7.401841578743829
2.0794415416798357,7.173191742486598
2.197224577336219,6.993932975223189
2.3025850929940455,6.844815479208263
2.3978952727983707,6.620073206530356
2.4849066497880004,6.546785410760524
2.5649493574615367,6.452048954437226
2.6390573296152584,6.259581464064922
2.70805020110221,6.150602768446279
2.8029010331479984,5.867906491755422
2.8903717578961645,5.814130531825066
2.9444389791664403,5.673323267171492
3.020127355638707,5.533850149144093
3.0910424533583156,5.5093883366279774
3.1567740231385475,5.272157297948187
3.2384861814448413,5.167440141327104
3.3140206880897667,5.002502847863238
3.3842466058243144,4.816036226274109
3.449861553642436,4.691305796458318
3.5114340430413207,4.48863636973214
3.5832616375299158,4.4147517644572725
3.6633424199899896,4.14572812216452
3.737480600227079,4.053433640428001
3.8064978400592255,3.966950327726785
3.8710563035761916,3.717127181306664
3.941346067571505,3.4456641832732986
4.016180047591611,3.3460280169574013
4.085799720211887,3.3081535291012747
4.158638841343671,3.0813966516042095
4.233896389651001,2.8661969122509534
4.303882421438251,2.613158605183187
4.369287578071324,2.493071048692051
4.436547220883761,2.1387665231247035
4.510617887647109,2.1164109902820587
4.584759156172325,2.0106847365563367
4.653778886644427,1.463989708400931
4.72274573840068,1.4548345837844736
4.79556278264075,1.6492275343267897
4.864460644735672,1.1522885677031698
4.940528525046224,1.1477426121818106
5.007759022068635,0.950599061407714
5.0812114049258,0.6777018135785454
5.150196926887446,0.7979152904636743
5.221496599349169,0.24964435612949923
5.29700954769648,0.3871201010907891
5.36111689572615,0.34657359027997264
5.425802071367149,0.4969813299576001
5.511577432311677,0.13862943611198905
5.5782353897307395,0.19908438546978388
5.649553916926724,0.0
5.716310600679072,0.0
5.797078154993713,0.0
5.853513680149857,0.0
5.946686787273629,0.0
6.00141487796115,0.0
6.104793232414985,0.0
6.141845395728858,0.0
6.309918278226516,0.0
6.343880434126331,0.0
6.595780513961311,0.0
6.658011045870748,0.0
6.728025871324462,0.0
6.749931193788569,0.0
6.961296045910166,0.0
7.033506484287697,0.0
