Log_degree,Log_frequency
0.0,10.808757781126817
0.6931471805599453,10.324136795969332
1.0986122886681096,9.933628709448115
1.3862943611198906,9.610792938260802
1.6094379124341003,9.328656598794225
1.791759469228055,9.07004328643746
1.9459101490553132,8.857515151192198
2.0794415416798357,8.652947112393857
2.197224577336219,8.486527777105351
2.3025850929940455,8.298041661371565
2.3978952727983707,8.127109185346375
2.4849066497880004,7.982416346827733
2.5649493574615367,7.884952945759813
2.6735537653587342,7.681802420078661
2.772588722239781,7.473637108496206
2.8617925509761903,7.271123620758887
2.9700856263602153,7.1655239321501005
3.0677824455408693,6.944301507328335
3.1567740231385475,6.7875690946308165
3.257603076298004,6.526814105592517
3.3497501700808385,6.423852727317628
3.4336401629823428,6.1819460760222755
3.5404337715070415,5.955132469924753
3.637355239500085,5.753479234162586
3.7253303136987936,5.560924255751171
3.828168426559125,5.354481083409736
3.9314409136793294,5.117047246234425
4.025032640182572,4.882459882076671
4.118651344182905,4.67837119659052
4.2190748514538665,4.375204486798276
4.317132336533505,4.124500223021909
4.412412356057667,3.9469306180595582
4.510456691531654,3.6400679736010364
4.604836655806778,3.4722751477145595
4.700066838359527,3.176363007369524
4.799510352356932,2.8809811756416526
4.897449686430528,2.7097080356607672
4.993454470285434,2.33901332479241
5.090275344681025,1.953890472042678
5.187011034119183,1.7537605287877707
5.282816952256121,1.4690493723300853
5.3795077475477076,1.073652857259093
5.476013657126002,0.9072654583390254
5.572581988968448,0.9692630418972622
5.673816470813179,0.5257495372027782
5.770439806572105,0.33742196809502906
5.8627844950497,0.3572811389760075
5.965684410197761,0.24849066497879999
6.0548849200877815,0.2166084939249829
6.147603736810149,0.14853153869141683
6.256199118855026,0.11552453009332421
6.339177745921849,0.22396993365350687
6.456264245230665,0.17328679513998632
6.547745863222668,0.0
6.641528110196344,0.06301338005090412
6.733057521461471,0.0
6.830465993727824,0.0
6.934342299211913,0.0
7.041540142814914,0.0
7.115285079022451,0.0
7.230028673184606,0.0
7.320566262489622,0.0
7.444833273892193,0.0
7.504324693068752,0.0
7.610781346216623,0.0
7.977968093128548,0.0
8.265630093034845,0.0
8.597851094433691,0.0
9.228671328660905,0.0
9.597641509456675,0.0
